en,ja
check digit,チェックディジット
check,チェック
checking into,チェックイン
checklist,チェックリスト
checkout,チェックアウト
checkpoint parameters,チェックポイントパラメータ
checkpoint process,チェックポイントプロセス
checkpoint record,チェックポイントレコード
checkpoint segment files,チェックポイントセグメントファイル
checkpoint,チェックポイント
checksum,チェックサム
Chile,チリ
chip,チップ
Choibalsan,チョイバルサン
chromosomes,染色体
chunk of memory,メモリチャンク
chunk,チャンク
CIDR,CIDR
city,都市
class member,クラスメンバ
class,クラス
class-shorthand escapes,クラス省略エスケープ
classless_Inter-Domain_Routing,クラスレスドメイン間ルーティング
clause,句
cleaning up,整理
cleaning,クリーニング
cleanup command,クリーンナップコマンド
cleanup,クリーンアップ
clear,クリア
client access library,クライアントアクセスライブラリ
client address,クライアントアドレス
client and server,クライアント・サーバ
client and server,クライアントサーバ
client application,クライアントアプリケーション
client authentication,クライアント認証
client code,クライアントコード
client command,クライアントコマンド
client debug,クライアントデバッグ
client files,クライアントファイル
client host,クライアントホスト
client interface library,クライアントインタフェースライブラリ
client interface,クライアントインタフェース
client library,クライアントライブラリ
client machine,クライアントマシン
client process,クライアントプロセス
client program tests,クライアントプログラムテスト
client program,クライアントプログラム
client programming interfaces,クライアントプログラミングインタフェース
client session,クライアントセッション
client side,クライアントサイド
client software,クライアントソフトウェア
client thread safety,クライアントスレッドセーフ
client user,クライアントユーザ
client,クライアント
clock,クロック
clone,クローン
close,クローズ
closed,閉じた
cluster data directory,クラスタデータディレクトリ
cluster directory,クラスタディレクトリ
cluster,クラスタ
cluster,クラスター
cluster-wide,クラスタ全体
clusterware,クラスタウェア
code block,コードブロック
code coverage metrics,コードカバレッジメトリック
code coverage,コードカバレッジ
code fields,コードフィールド
code page,コードページ
code path,コードパス
code point,コードポイント
code profiling,コードプロファイリング
code zero,コードゼロ
code,コード
coding conventions,コーディング規約
coding,コーディング
collation derivation,照合の導出
collation,照合
collection of tables,テーブルの（そしてテーブルだけからなる）集合
collector process,コレクタプロセス
collector,コレクタ
colon,コロン
column alias,カラム別名
column alias,列別名
column label,列ラベル
column reference,列の参照
column,カラム
column,列
Combo,コンボ
comma,カンマ
comma,コンマ
command counter,コマンドカウンタ
command cycle,コマンドサイクル
command file,コマンドファイル
command level,コマンドレベル
command line,コマンドライン
command logs,コマンドログ
command message,コマンドメッセージ
command prompt,コマンドプロンプト
command set,コマンドセット
command shell,コマンドシェル
command status tag,コマンドステータスタグ
command status,コマンドステータス
command stream,コマンドストリーム
command tag,コマンドタグ
command text,コマンドテキスト
command title,コマンドタイトル
command type,コマンドタイプ
command,コマンド
command-line interpreter,コマンドラインインタプリタ
command-line list,コマンドラインリスト
command-line option switches,コマンドラインオプションスイッチ
command-line option,コマンドラインオプション
command-line parameter,コマンドラインパラメータ
command-line tool,コマンドラインツール
command-line utility,コマンドラインユーティリティ
command-line,コマンドライン
comment blocks,コメントブロック
comment out,コメントアウト
comment text,コメントテキスト
comment,コメント
commit hash,コミットハッシュ
commit log files,コミットログファイル
commit message,コミットメッセージ
commit mode,コミットモード
commit record,コミットレコード
commit,コミット
common name,コモンネーム
common table expression,共通テーブル式
community,コミュニティ
commutator,交代演算子
compact,コンパクト
comparing,比較
comparison,比較
compatibility,互換性
compile command,コンパイルコマンド
compile error,コンパイルエラー
compile scripts,コンパイルスクリプト
compile,コンパイル
compiler driver,コンパイラドライバ
compiler flag,コンパイラフラグ
compiler option,コンパイラオプション
compiler option,コンパイルオプション
Compiler suite,コンパイラスィート
compiler tool,コンパイラツール
compiler,コンパイラ
complex number,複素数
complex queries,複雑な問い合わせ
component,コンポーネント
Composite type,コンポジットタイプ
composite type,複合型
compressed archives,圧縮アーカイブ
Computer science,コンピュータサイエンス
computer,コンピュータ
concatenation,結合
concept,コンセプト
concept,概念
concurrency control,同時実行制御
conditional expression,条件式
conference,コンファレンス
configuration parameter,設定パラメータ
configuration,設定
conflict,コンフリクト
conformance,準拠
conjunction,論理積
connection pool,コネクションプール
connection pooler,コネクションプーラ
connection pooling software,コネクションプーリングソフトウェア
connection pooling,コネクションプーリング
connection service file,接続サービスファイル
connection slot,コネクションスロット
connection,コネクション
connection,接続
connection-pooling software,コネクションプールソフトウェア
connection-pooling software,接続プールソフトウェア
consistency,一貫性
console,コンソール
constant,定数
constraint escape,制約エスケープ
constraint exclusion,制約による除外
constraint exclusion,制約除外
constraint exclusion,制約排除
constraint,制約
construct,コンストラクト
constructor,コンストラクタ
constructor,生成子
consumer,コンシューマ
containment,包含
containment,包含演算子
contains,包含
content fragment,コンテンツフラグメント
content,コンテンツ
context manager interface,コンテキストマネージャインタフェース
context manager,コンテキストマネージャ
context,コンテキスト
continuous archiving,継続的アーカイビング
continuous archiving,継続的アーカイブ
continuous,連続
control file,制御ファイル
control,コントロール
controller cache,コントローラキャッシュ
controller cards,コントローラカード
controller,コントローラ
conventions,規約
conversion,変換
converter,コンバータ
copy and paste,コピーペースト
copy data,コピーデータ
copy message,コピーメッセージ
copy mode,コピーモード
copy,コピー
copy-both mode,コピーボースモード
copy-both,コピーボース
copy-in data,コピーインデータ
copy-in mode,コピーインモード
copy-in,コピーイン
copy-on-write,コピーオンライト
copy-out data,コピーアウトデータ
copy-out mode,コピーアウトモード
copy-out,コピーアウト
Copyright,Copyright
copyright,著作権
core backend,コアバックエンド
core catalogs,コアカタログ
core code,コアコード
core database system,コアデータベースシステム
core dump,コアダンプ
core error,コアエラー
core planner,コアプランナ
core project,コアプロジェクト
core regression test,コアリグレッションテスト
core script,コアスクリプト
core server,コアサーバ
core system,コアシステム
core tests,コアテスト
core,コア
correlation,相関
cost parameters,コストパラメータ
cost,コスト
cost-based,コストベース
count,カウント
counter views,カウンタビュー
counter,カウンタ
covariance,共分散
cover density,被覆密度(cover density)
cover,カバー
coverage testing instrumentation,カバレッジテストツール
coverage,カバレッジ
Coverity static code analyzer,Coverity静的コード解析
Coverity,コベリティ
crackable,クラック
crash dumps,クラッシュダンプ
crash recovery,クラッシュリカバリ
crash,クラッシュ
crash-safe,クラッシュセーフ
creator,作成者
credential,資格
credit card,クレジットカード
credit,クレジット
Crimea,クリミア
cross join,クロス結合
cross,クロス
cross-compiling,クロスコンパイル
cross-reference,クロスリファレンス
cross-schema,クロススキーマ
Cuba,キューバ
current directory,カレントディレクトリ
current working directory,カレントワーキングディレクトリ
current,現在
cursor command,カーソルコマンド
cursor object,カーソルオブジェクト
cursor options,カーソルオプション
cursor support,カーソルサポート
cursor,カーソル
custom binaries,カスタムバイナリ
custom dump,カスタムダンプ
custom options,カスタムオプション
custom parameters,カスタムパラメータ
custom parser,カスタムパーサ
custom patches,カスタムパッチ
custom plan,カスタムプラン
custom scan provider,カスタムスキャンプロバイダ
custom script file,カスタムスクリプトファイル
custom text,カスタムテキスト
custom trigger,カスタムトリガ
custom versions,カスタムバージョン
custom,カスタム
customize,カスタマイズ
cut-off,カットオフ
cutoff point,カットオフポイント
cycle,サイクル
cyclone,サイクロン
Cyrillic,キリル
daemon process,デーモンプロセス
daemon,デーモン
dash,ダッシュ
dashboard,ダッシュボード
data access commands,データアクセスコマンド
data access,データアクセス
data area,データ領域
data byte,データバイト
data checksums,データチェックサム
data copies,データコピー
data copying program,データコピープログラム
data dictionary,データディクショナリ
data directory path,データディレクトリパス
data directory,データディレクトリ
data encoding error,データエンコーディングエラー
data errors,データエラー
data file blocks,データファイルブロック
data file,データファイル
data fork,データフォーク
data key,データキー
data load,データロード
data loss,データロス
data mapping,データマッピング
data model,データモデル
data object,データオブジェクト
data packet,データパケット
data page,データページ
data partition,データパーティション
data provider,データプロバイダ
data security,データセキュリティ
data set,データセット
data size,データサイズ
data source,データソース
data stream,データストリーム
data type,データタイプ
data type,データ型
data warehouse,データウェアハウス
data wrapper helper,データラッパヘルパ
data wrapper options,データラッパオプション
data wrapper support,データラッパサポート
data wrapper,データラッパ
data wrapper,データラッパー
data,データ
database access error,データベースアクセスエラー
database access tools,データベースアクセスツール
database access,データベースアクセス
database activity,データベース活動状況
database administrator,データベース管理者
database application,データベースアプリケーション
database backup,データベースバックアップ
database clone,データベースクローン
database cluster directory,データベースクラスタディレクトリ
database cluster installation,データベースクラスタインストレーション
database cluster,データベースクラスタ
database command,データベースコマンド
database connection,データベースコネクション
database crash,データベースクラッシュ
database data,データベースデータ
database directory,データベースディレクトリ
database disk page,データベースディスクページ
database dump,データベースダンプ
database encoding,データベースエンコーディング
database error,データベースエラー
database field,データベースフィールド
database file,データベースファイル
database installation,データベースインストレーション
database instance,データベースインスタンス
database interface,データベースインターフェイス
database level,データベースレベル
database mode,データベースモード
database objects,データベースオブジェクト
database page,データベースページ
database passwords,データベースパスワード
database programmer,データベースプログラマ
database records,データベースレコード
database roles,データベースロール
database rules,データベースルール
database schema,データベーススキーマ
database server daemon,データベースサーバデーモン
database server host,データベースサーバホスト
database server instance,データベースサーバインスタンス
database server machine,データベースサーバマシン
database server program,データベースサーバプログラム
database server,データベースサーバ
database session,データベースセッション
database sites,データベースサイト
database size,データベースサイズ
database software,データベースソフトウェア
database superuser,データベーススーパーユーザ
database system user,データベースシステムユーザ
database system,データベースシステム
database table,データベーステーブル
database throughput,データベーススループット
database user account,データベースユーザアカウント
database user,データベースユーザ
database vendors,データベースベンダ
database version,データベースバージョン
database,データベース
DBA,DBA
DDL,DDL
de-parsing,デパース
deadlock errors,デッドロックエラー
deadlock timeout,デッドロックタイムアウト
deadlock,デッドロック
deallocation,解放
debug level,デバッグレベル
debug logging,デバッグログ
debug messages,デバッグメッセージ
debug option,デバッグオプション
debug,デバッグ
debugger,デバッガ
debugging support,デバッグサポート
debugging symbols,デバッグシンボル
debugging tools,デバッグツール
decimal,10進数
declaration,宣言
decode,デコード
decoder,デコーダ
deep copy,ディープコピー
default catalog,デフォルトカタログ
default class,デフォルトクラス
default database,デフォルトデータベース
default group,デフォルトグループ
default mode,デフォルトモード
default option,デフォルトオプション
default parameters,デフォルトパラメータ
default parser,デフォルトパーサ
default port,デフォルトポート
default security label,デフォルトセキュリティラベル
default style,デフォルトスタイル
default table,デフォルトテーブル
default tablespace,デフォルトテーブルスペース
default transaction,デフォルトトランザクション
default value,デフォルト値
default,デフォルト
deferrable transaction,繰り延べトランザクション
deferrable transaction,遅延トランザクション
deferrable,deferrable
definition,定義
delay,遅延
delete,削除
deleting,削除
deletion,削除
delimiter,デリミタ
delimiter,区切り文字
demo,デモ
demoware,デモウェア
descriptor,ディスクリプタ
descriptor,デスクリプタ
design,デザイン
designer,設計者
Devanagari alphabet,ヒンディーアルファベット
device files,デバイスファイル
device Manager,デバイスマネージャ
device,デバイス
dial-up,ダイアルアップ
dialog,ダイアログ
dictionaries,辞書
difference,差
digest algorithm,ダイジェストアルゴリズム
digest,ダイジェスト
direct arguments,直接引数
directive,ディレクティブ
directives,指示子
director,決定子
directory access protocol,ディレクトリアクセスプロトコル
directory archive,ディレクトリアーカイブ
directory path,ディレクトリパス
directory,ディレクトリ
dirty block,ダーティブロック
dirty buffers,ダーティバッファ
dirty data pages,ダーティデータページ
dirty data pages,ダーティページデータ
dirty read,ダーティリード
dirty,ダーティ
dirty,ダーティー
discrete,離散
disjunction,論理和
disk access,ディスク・アクセス
disk access,ディスクアクセス
disk array,ディスクアレイ
disk block,ディスクブロック
disk buffer,ディスクバッファ
disk cache,ディスクキャッシュ
disk controller cache,ディスクコントローラキャッシュ
disk controller,ディスクコントローラ
disk drive,ディスクドライブ
disk file,ディスクファイル
disk layout,ディスクレイアウト
disk mapping,ディスクマッピング
disk page,ディスクページ
disk platter,ディスクプラッタ
disk quotas,ディスククォータ
disk sector,ディスクセクタ
disk space,ディスクスペース
disk space,ディスク容量
disk system,ディスクシステム
disk usage,ディスク使用量
disk,ディスク
disk-based,ディスクベース
display,ディスプレイ
distribution package release,ディストリビューションパッケージリリース
distribution terms,配布条項
distribution,ディストリビューション
distribution,配布物
DocBook,DocBook
document style,ドキュメントスタイル
document table,ドキュメントテーブル
document text,ドキュメントテキスト
document,ドキュメント
document,文書
documentation project,ドキュメントプロジェクト
documentation text file,ドキュメントテキストファイル
documentation tool,ドキュメントツール
documentation,文書
dollar quoting,ドル引用符付け
dollar,ドル
domain controller,ドメインコントローラ
domain data,ドメインデータ
domain relational calculus,ドメインリレーショナル論理
domain socket directory,ドメインソケットディレクトリ
domain socket file,ドメインソケットファイル
domain socket,ドメインソケット
domain support,ドメインサポート
domain,ドメイン
dot,ドット
double precision,倍精度
double quote,二重引用符
double quotes,ダブルクォート
down,ダウン
downgrade logic,ダウングレードロジック
downgrade script,ダウングレードスクリプト
downgrading,ダウングレード
download,ダウンロード
drive cache,ドライブキャッシュ
drive,ドライブ
driver script,ドライバスクリプト
driver,ドライバ
DSA,DSA
dummy data,ダミーデータ
dummy node,ダミーノード
dummy version,ダミーバージョン
dummy,ダミー
dump data,ダンプデータ
dump file,ダンプファイル
dump programs,ダンププログラム
dump script,ダンプスクリプト
dump,ダンプ
duplicate,重複
dynamic loader,動的ローダ
dynamic loading,動的ロード
dynamic shared memory subsystem,動的共有メモリサブシステム
dynamic-linker,ダイナミックリンカ
ECC,ECC
ECPG host application,ECPGホストアプリケーション
edge recombination crossover,辺再組合せ交叉
edition,エディション
editor,エディタ
Egypt,エジプト
Elgamal,Elgamal
email address,メールアドレス
email,メール
email-address tokens,メールアドレストークン
embedded option,埋め込みオプション
embedded SQL,埋め込みSQL
embedded,埋め込み
emulate,エミュレート
enabled role,有効なロール
encapsulates,カプセル化
encode,エンコード
encoding,エンコーディング
encrypted passwords,暗号化パスワード
encryption,暗号化
end user,エンドユーザ
endian,エンディアン
enforcing mode,エンフォーシングモード
engine,エンジン
ensure,保証
entity,エンティティ
entity,実体
entity-relationship model,エンティティリレーションモデル
entropy,エントロピー
entry point,エントリーポイント
entry point,エントリポイント
entry,エントリ
entry,エントリー
enumerated types,列挙型
environment variable,環境変数
environment,環境
epoch timestamp,エポックタイムスタンプ
epoch,エポック
equal to,等しい
equality operator,等価演算子
erratic core dumps,エラーコアダンプ
error checking,エラーチェック
error class,エラークラス
error code scheme,エラーコードスキーマ
error codes,エラーコード
error cursor,エラーカーソル
error field,エラーフィールド
error handling,エラーハンドリング
error level,エラーレベル
error message fields,エラーメッセージフィールド
error message text,エラーメッセージテキスト
error message,エラーメッセージ
error report,エラーレポート
error status,エラーステータス
error text,エラーテキスト
error,エラー
error-recovery code,エラーリカバリコード
escape sequence,エスケープシーケンス
escape string syntax,エスケープ文字列構文
escape support,エスケープサポート
escape warning,エスケープに関する警告
escape,エスケープ
ethernet card,イーサネットカード
Europe,ヨーロッパ
event callback procedure,イベントコールバックプロシージャ
event data,イベントデータ
event handler,イベントハンドラ
event log messages,イベントログメッセージ
event log,イベントログ
event logger,イベントロガー
event logging,イベントロギング
event of an error,エラーイベント
event procedure,イベントプロシージャ
event queue system,イベントキューシステム
event source,イベントソース
event support,イベントサポート
event system,イベントシステム
event trigger code,イベントトリガコード
event trigger manager,イベントトリガマネージャ
event trigger procedure,イベントトリガプロシージャ
event trigger,イベントトリガ
event trigger,イベントトリガー
event viewer,イベントビューア
event,イベント
eventually consistent,最後には一貫性を持つ
every so often,時々
example code,サンプルコード
example plugin,サンプルプラグイン
exception,例外
exclamation mark,イクスクラメーション印
exclamation point,感嘆符
exclusion constraint,排他制約
execute,実行
execution plan,実行計画
executor code,エクゼキュータコード
executor context,エクゼキュータコンテキスト
executor,エクゼキュータ
exercise,練習
existence,存在
expanded,拡張
expert,エキスパート
expire,エキスパイア
explicit locking,明示的ロック
export,エキスポート
export,エクスポート
expression,式
expressive power,表現力
extended,拡張
extending SQL,SQLの拡張
extending,拡張
extensibility,拡張性
extension,extension
extension,エクステンション
extension,拡張
extent,エクステント
external projects,外部プロジェクト
external representations,外部表現
facilities,ファシリティ
fact table,ファクトテーブル
factor,ファクタ
failover cluster,フェールオーバクラスタ
failover signal,フェイルオーバシグナル
failover systems,フェールオーバーシステム
failover,フェールオーバ
failover,フェイルオーバ
failover,フェイルオーバー
Falkland,フォークランド
fallback,フォールバック
false,偽
family of address,アドレスファミリ
family,ファミリ
family,ファミリー
FAQ,FAQ
fast failover,ファストフェイルオーバー
fast path,近道
fast shutdown,高速シャットダウン
fast-path locking,ファストパスロック
fast-path,ファストパス
fast-path,近道
fastgetattr,fastgetattr
fatal error,フェイタルエラー
feature,機能
feedback message,フィードバックメッセージ
feedback status,フィードバックステータス
feedback,フィードバック
feet,フィート
fetch,フェッチ
fetch,取り出し
field codes,フィールドコード
field data,フィールドデータ
field headings,フィールドヘッダ
field selection,フィールド選択
field,フィールド
Fiji,フィジー
file access,ファイルアクセス
file block,ファイルブロック
file copy,ファイルコピー
file descriptor,ファイルディスクリプタ
file descriptor,ファイルデスクリプタ
file directory,ファイルディレクトリ
file error,ファイルエラー
file format,ファイルフォーマット
file handle,ファイルハンドル
file options,ファイルオプション
file path,ファイルパス
file segments,ファイルセグメント
file size,ファイルサイズ
file status,ファイルステータス
file stream,ファイルストリーム
file system access,ファイルシステムアクセス
file system backup,ファイルシステムバックアップ
file system cache,ファイルシステムキャッシュ
file system layout,ファイルシステムレイアウト
file system level,ファイルシステムレベル
file system mount points,ファイルシステムマウントポイント
file system replication,ファイルシステムレプリケーション
file system,ファイルシステム
file version stamps,ファイルバージョンスタンプ
file,ファイル
file-based,ファイルベース
file-level,ファイルレベル
file-system interface,ファイルシステムインタフェース
file-system software,ファイルシステムソフトウェア
file-system-backup tool,ファイルシステムバックアップツール
filenode,ファイルノード
filesystem snapshot,ファイルシステムスナップショット
fill factor,フィルファクタ
filter,フィルタ
filter,フィルター
filtering dictionary,フィルタリング辞書
filtering,フィルタリング
filtering,フィルタ処理
final function,最終関数
Finland,フィンランド
firewall,ファイアウォール
first order logic,一階述語論理
fitness,適応度
flag bit,フラグビット
flag fields,フラグフィールド
flag set,フラグセット
flag,フラグ
flat file,フラットファイル
flat text file,フラットテキストファイル
